"date","price","open","Max","Min","volume","change"
"27.11.2020","2.289,80","2.227,40","2.319,60","2.227,40","208,56K","2,04%"
"26.11.2020","2.244,00","2.300,00","2.304,40","2.202,80","197,59K","-2,63%"
"25.11.2020","2.304,60","2.212,60","2.344,60","2.174,00","3,14M","4,70%"
"24.11.2020","2.201,20","2.185,00","2.215,00","2.170,00","156,18K","-0,82%"
"23.11.2020","2.219,40","2.257,00","2.291,60","2.165,00","292,74K","-1,93%"
"20.11.2020","2.263,00","2.260,00","2.285,00","2.226,20","99,04K","0,09%"
"19.11.2020","2.261,00","2.323,00","2.330,00","2.260,00","136,97K","-1,70%"
"18.11.2020","2.300,00","2.293,80","2.331,80","2.265,00","233,02K","0,68%"
"17.11.2020","2.284,40","2.300,00","2.363,00","2.252,00","213,57K","-0,67%"
"16.11.2020","2.299,80","2.350,00","2.462,20","2.273,80","308,32K","-1,62%"
"13.11.2020","2.337,60","2.256,00","2.338,00","2.252,60","248,07K","4,04%"
"12.11.2020","2.246,80","2.290,00","2.366,00","2.210,00","320,28K","-1,41%"
"11.11.2020","2.279,00","2.082,40","2.297,60","2.070,00","430,71K","5,59%"
"10.11.2020","2.158,40","2.100,40","2.172,40","2.100,40","271,36K","1,05%"
"09.11.2020","2.136,00","2.165,00","2.220,20","2.111,00","356,03K","-0,41%"
"06.11.2020","2.144,80","2.080,00","2.174,80","2.050,80","268,03K","2,71%"
"05.11.2020","2.088,20","2.020,00","2.125,60","2.010,00","493,26K","4,98%"
"03.11.2020","1.989,20","1.948,20","2.021,00","1.935,00","209,59K","2,19%"
"02.11.2020","1.946,60","1.872,20","1.980,00","1.834,20","236,39K","3,97%"
"30.10.2020","1.872,20","1.874,60","1.899,80","1.807,00","165,71K","-0,99%"
"29.10.2020","1.891,00","1.929,20","1.984,80","1.851,00","234,71K","-2,37%"
"28.10.2020","1.937,00","1.954,00","2.050,00","1.859,00","1,02M","-1,42%"
"27.10.2020","1.965,00","1.858,20","2.000,00","1.839,20","584,31K","4,64%"
"26.10.2020","1.877,80","1.821,80","1.898,00","1.796,20","491,18K","3,07%"
"23.10.2020","1.821,80","1.800,00","1.838,20","1.791,20","136,99K","0,91%"
"22.10.2020","1.805,40","1.739,80","1.812,00","1.710,40","332,21K","3,77%"
"21.10.2020","1.739,80","1.686,00","1.757,00","1.680,40","373,03K","2,22%"
"20.10.2020","1.702,00","1.750,80","1.835,20","1.653,00","609,79K","-3,66%"
"19.10.2020","1.766,60","1.800,00","1.839,40","1.750,00","261,58K","-3,34%"
"16.10.2020","1.827,60","1.874,00","1.878,20","1.754,80","691,20K","-3,23%"
"15.10.2020","1.888,60","1.931,00","1.931,00","1.850,20","198,50K","-0,88%"
"14.10.2020","1.905,40","1.860,20","1.957,00","1.830,20","498,80K","2,64%"
"13.10.2020","1.856,40","1.881,20","1.909,40","1.840,60","407,63K","-2,19%"
"12.10.2020","1.898,00","1.980,20","2.019,00","1.871,80","698,85K","-4,42%"
"09.10.2020","1.985,80","1.926,00","2.002,00","1.910,00","236,69K","2,94%"
"08.10.2020","1.929,00","1.950,20","1.959,00","1.924,80","206,24K","-1,37%"
"07.10.2020","1.955,80","2.004,00","2.005,00","1.945,00","135,64K","-1,47%"
"06.10.2020","1.985,00","2.010,00","2.041,00","1.980,00","171,07K","-0,99%"
"05.10.2020","2.004,80","2.002,20","2.099,60","1.981,20","98,48K","-0,31%"
"02.10.2020","2.011,00","1.999,80","2.030,00","1.986,80","97,38K","0,25%"
"01.10.2020","2.006,00","2.078,80","2.078,80","1.985,40","247,03K","-1,92%"
"30.09.2020","2.045,20","2.068,00","2.068,00","2.023,20","171,05K","-1,40%"
"29.09.2020","2.074,20","2.083,80","2.088,20","2.036,00","130,27K","0,20%"
"28.09.2020","2.070,00","2.028,40","2.085,00","2.015,80","307,09K","2,05%"
"25.09.2020","2.028,40","2.049,00","2.055,00","1.965,60","463,63K","0,12%"
"24.09.2020","2.026,00","2.105,00","2.117,40","2.014,40","425,49K","-2,75%"
"23.09.2020","2.083,20","2.163,40","2.165,00","2.058,40","1,38M","-3,78%"
"22.09.2020","2.165,00","1.937,40","2.195,00","1.937,40","850,64K","10,79%"
"21.09.2020","1.954,20","1.938,00","1.995,00","1.910,00","278,40K","-0,41%"
"18.09.2020","1.962,20","1.974,40","2.014,00","1.922,00","237,50K","-0,05%"
"17.09.2020","1.963,20","1.967,80","1.997,60","1.818,00","329,48K","-0,24%"
"16.09.2020","1.968,00","1.946,80","1.988,00","1.907,80","266,11K","2,67%"
"15.09.2020","1.916,80","1.841,00","1.925,00","1.831,40","272,94K","4,71%"
"14.09.2020","1.830,60","1.840,00","1.857,00","1.792,40","127,88K","0,53%"
"11.09.2020","1.821,00","1.840,20","1.859,80","1.803,60","140,82K","-1,00%"
"10.09.2020","1.839,40","1.827,20","1.859,60","1.812,40","93,63K","0,98%"
"09.09.2020","1.821,60","1.830,00","1.858,40","1.800,00","212,70K","-1,27%"
"08.09.2020","1.845,00","1.900,00","1.919,80","1.804,00","292,79K","-2,29%"
"07.09.2020","1.888,20","1.793,20","1.905,40","1.774,00","246,36K","4,90%"
"04.09.2020","1.800,00","1.770,20","1.820,00","1.721,40","181,16K","0,67%"
"03.09.2020","1.788,00","1.848,80","1.866,00","1.781,00","233,13K","-2,60%"
"02.09.2020","1.835,80","1.807,40","1.869,60","1.773,00","237,29K","1,13%"
"01.09.2020","1.815,20","1.878,00","1.878,00","1.795,60","335,86K","-4,13%"
"31.08.2020","1.893,40","1.884,40","1.950,40","1.851,60","266,46K","0,93%"
"28.08.2020","1.876,00","1.930,00","1.930,00","1.821,00","194,64K","-1,00%"
"27.08.2020","1.895,00","1.984,80","1.989,20","1.870,00","256,45K","-4,35%"
"26.08.2020","1.981,20","2.040,00","2.050,00","1.960,80","200,74K","-0,94%"
"25.08.2020","2.000,00","1.923,20","2.000,00","1.923,20","212,78K","4,01%"
"24.08.2020","1.922,80","1.895,20","1.930,00","1.883,40","122,73K","1,63%"
"21.08.2020","1.892,00","1.827,60","1.900,00","1.824,60","264,75K","3,73%"
"20.08.2020","1.824,00","1.819,00","1.845,00","1.776,60","268,41K","1,11%"
"19.08.2020","1.804,00","1.770,20","1.855,00","1.751,60","338,53K","1,85%"
"18.08.2020","1.771,20","1.828,60","1.834,60","1.750,00","151,72K","-0,96%"
"17.08.2020","1.788,40","1.703,20","1.799,00","1.702,40","419,87K","3,94%"
"14.08.2020","1.720,60","1.751,40","1.762,20","1.690,80","316,81K","-2,79%"
"13.08.2020","1.770,00","1.818,00","1.818,00","1.751,00","268,71K","-2,96%"
"12.08.2020","1.824,00","1.804,00","1.848,80","1.757,00","227,31K","1,33%"
"11.08.2020","1.800,00","1.878,00","1.888,00","1.790,00","278,37K","-3,03%"
"10.08.2020","1.856,20","1.937,00","1.944,20","1.801,00","377,35K","-3,27%"
"07.08.2020","1.919,00","1.964,00","1.964,00","1.905,20","126,16K","-1,25%"
